Sim	GAMMA	NCURR	STEPS	STR_MUTATION	K_1	Ksd_1	H_1	Hsd_1	GW_1	GWsd_1	R_1	Rsd_1	FIS
14028	14.723	201	0.191177	0.00088132	1.88235	0.600245	0.214286	0.192411	1	0	1.15385	0.375534	-0.0203774
14029	13.4969	9105	0.19352	0.000951125	7.82353	1.66716	0.825241	0.0557871	0.917157	0.118822	7.76471	2.56246	-0.0190084
14030	14.1195	168	0.215074	0.000559215	1.52941	0.71743	0.161998	0.217571	1	0	1.28571	0.48795	-0.011976
14031	10.6838	79	0.142154	0.000763163	1.52941	0.71743	0.110955	0.1829	1	0	1.28571	0.48795	-0.0627737
14032	8.3874	289	0.232687	0.000634906	1.64706	0.931476	0.17009	0.240431	0.964286	0.0944911	1.71429	0.95119	0.0890152
14033	12.6534	40605	0.286519	0.00055355	9.29412	1.40378	0.861033	0.03521	0.753668	0.162568	11.8235	3.02563	0.01988
14034	13.7353	384	0.157082	0.00091349	2.41176	0.87026	0.374883	0.210194	0.977778	0.0860663	1.66667	0.723747	0.0953608
14035	11.6724	38273	0.197306	0.000744782	9.70588	2.28486	0.877062	0.0520442	0.746378	0.153941	12.9412	5.22578	-0.0162242
14036	12.2996	5989	0.276174	0.000419282	4.64706	1.11474	0.685185	0.113194	0.976891	0.067929	3.82353	1.42457	0.000471698
14037	11.2107	16160	0.268938	0.000465722	9.70588	2.11438	0.872705	0.0385178	0.771481	0.135285	12.1176	4.38581	0.0384615
14038	13.312	654	0.295637	0.000228612	1.29412	0.469668	0.0580454	0.129716	1	0	1	0	0.0611111
14039	11.4826	35	0.284751	0.000879894	1.11765	0.332106	0.00840336	0.0237218	1	0	1	0	1.70762e-17
14040	13.1469	22	0.193182	0.000383871	1	0	0.388889	0	1	0	1	0	0.458333
14041	9.41188	451	0.281457	0.000432788	1.58824	0.618347	0.137566	0.183264	1	0	1.11111	0.333333	0.0234742
14042	12.1339	12	0.219649	0.000589999	1	0	0	0	0	0	0	0	0
14043	9.41826	3915	0.285015	0.000742994	7	1.80278	0.779023	0.0957928	0.837521	0.171166	7.94118	3.45454	0.0134771
14044	8.13084	428	0.113418	0.000466746	2.17647	0.808957	0.316682	0.22118	0.948718	0.125178	1.69231	0.480384	0.0326198
14045	9.73498	213	0.196762	0.000822336	2.23529	1.03256	0.28836	0.236332	1	0	1.75	0.753778	-0.0510949
14046	10.2176	1754	0.166894	0.000648181	3.58824	1.00367	0.566449	0.156691	0.946078	0.105989	2.88235	1.31731	0.0830489
14047	14.1775	415	0.236993	0.000354376	1.41176	0.5073	0.133987	0.197927	1	0	1	0	0.09375
14048	13.675	17120	0.134281	0.000218615	5.05882	1.29762	0.707594	0.114893	0.929972	0.0769082	4.52941	1.62472	0.0271504
14049	9.98759	3952	0.264059	0.000654801	4.82353	1.33395	0.683473	0.1163	0.894048	0.125809	4.58824	1.93839	0.0742749
14050	13.861	20761	0.234438	0.000105515	5.41176	1.50245	0.721755	0.150574	0.89705	0.160292	5.29412	2.33893	-0.061939
14051	13.9104	1411	0.286772	0.00036506	2.23529	0.752447	0.293806	0.226969	0.931111	0.153513	1.66667	0.899735	0.0137438
14052	12.8267	3055	0.291584	0.000826023	5.94118	1.51948	0.776377	0.0784901	0.912155	0.0925544	5.58824	1.90587	-0.0350146
14053	9.47531	1442	0.183901	0.000565719	3.82353	1.42457	0.577342	0.195862	0.8993	0.129485	3.29412	1.57181	0.0332681
14054	13.8524	80	0.246479	0.000106265	1	0	0	0	0	0	0	0	0
14055	13.0066	374	0.175541	0.000203671	1.35294	0.701888	0.0941488	0.192804	1	0	1.5	0.57735	-0.12069
14056	13.1278	103	0.256466	0.000366677	1.23529	0.437237	0.0392157	0.11006	1	0	1	0	0.147541
14057	13.8833	65	0.138193	0.00084105	1.76471	0.664211	0.20915	0.217311	0.963636	0.120605	1.36364	0.924416	0.037037
14058	10.8212	1567	0.202829	0.000724368	4.41176	1.12132	0.634454	0.128257	0.955882	0.102561	3.70588	1.44761	-0.0758621
14059	11.3998	6036	0.232536	0.000790586	5.35294	1.65609	0.704637	0.0866222	0.913036	0.133592	5.17647	2.94184	-0.0142267
14060	9.39648	1674	0.204387	0.000474801	3.11765	0.696631	0.505447	0.124316	0.960084	0.117017	2.35294	1.16946	0.0628389
14061	13.8047	42	0.216322	0.000950693	1.23529	0.437237	0.0505758	0.131089	1	0	1	0	-0.258065
14062	12.4846	2328	0.127855	0.000224868	2.35294	0.86177	0.408652	0.209912	0.983333	0.0645497	1.6	0.828079	0.0454007
14063	9.40483	8270	0.292109	0.000893816	8.47059	1.77192	0.845472	0.0550498	0.805444	0.176867	10.2941	4.32673	-0.0246795
14064	11.0587	595	0.153496	0.000310725	2.23529	0.664211	0.316371	0.237308	0.983333	0.0645497	1.46667	0.63994	0.0178663
14065	9.33423	227	0.158738	0.000486582	1.82353	0.635934	0.267351	0.241793	1	0	1.16667	0.389249	0.0915663
