Sim	GAMMA	NCURR	STEPS	STR_MUTATION	K_1	Ksd_1	H_1	Hsd_1	GW_1	GWsd_1	R_1	Rsd_1	FIS
19684	13.0297	6093	0.247785	0.00046438	5.52941	1.46277	0.726891	0.0856085	0.888072	0.118193	5.35294	1.80074	0.0343461
19685	14.3953	13	0.100497	0.000506781	1	0	0.157143	0	1	0	1	0	-0.0625
19686	8.21312	49375	0.20862	0.000694983	13.2353	2.33263	0.909897	0.0284196	0.783671	0.158247	16.5294	4.63839	-0.0354235
19687	14.0761	1323	0.222101	0.0001691	1.88235	0.600245	0.222782	0.188403	1	0	1.15385	0.375534	0.0628768
19688	8.62221	3282	0.223903	0.000902981	4.88235	1.0537	0.698786	0.0701754	0.844304	0.19535	5.11765	1.83311	0.0568525
19689	8.37895	86	0.240127	0.000595298	1.35294	0.606339	0.0853408	0.175649	1	0	1.2	0.447214	-0.0349493
19690	10.4931	11	0.114856	0.000120378	1	0	0	0	0	0	0	0	0
19691	11.2229	13	0.206947	0.000759893	1	0	0	0	0	0	0	0	0
19692	14.9523	721	0.293176	0.000627153	3.05882	1.14404	0.411671	0.249455	0.94494	0.127692	2.5625	1.71148	-0.0493336
19693	10.8004	6156	0.205934	0.000711302	5.76471	1.30045	0.712418	0.115922	0.922969	0.115624	5.47059	2.21127	-0.0236263
19694	10.8262	729	0.111512	0.000505727	2.76471	0.664211	0.479832	0.10208	1	0	1.76471	0.664211	-0.0433213
19695	13.2437	7377	0.184611	0.000301067	6	1.58114	0.7507	0.0578017	0.867091	0.148911	6.29412	2.93182	-0.0461538
19696	10.9402	100	0.130695	0.000669114	1.47059	0.624264	0.129505	0.187752	1	0	1.14286	0.377964	-0.00965108
19697	14.1154	16	0.120554	0.000694167	1	0	0	0	0	0	0	0	0
19698	9.31488	783	0.142957	0.000320428	1.88235	0.781213	0.229038	0.219801	1	0	1.36364	0.504525	0.00125892
19699	12.0529	27	0.177514	0.000174048	1	0	0	0	0	0	0	0	0
19700	9.66257	37832	0.170761	0.00067215	11.7647	2.48821	0.89113	0.0520554	0.814505	0.154942	14.2941	5.33578	-0.00873881
19701	14.4114	30	0.14785	0.000298911	1	0	0	0	0	0	0	0	0
19702	10.4935	28	0.292302	0.000160143	1	0	0	0	0	0	0	0	0
19703	12.653	125	0.252178	0.00069318	1.52941	0.514496	0.122689	0.173128	1	0	1	0	-0.0675039
19704	13.4496	83	0.15907	0.000540461	1.41176	0.618347	0.104295	0.177384	1	0	1.16667	0.408248	-0.132285
19705	11.7026	383	0.111829	0.000761851	2.47059	1.00733	0.353595	0.226715	0.971429	0.106904	1.92857	0.997249	-0.0648148
19706	8.84291	12	0.111616	0.000222125	1	0	0	0	0	0	0	0	0
19707	14.2078	151	0.110663	0.000837055	1.82353	0.635934	0.20056	0.221219	1	0	1.16667	0.389249	-0.0105465
19708	8.8907	826	0.125278	0.000915763	2.70588	0.771744	0.440523	0.191981	0.970588	0.121268	1.82353	0.808957	0.0213694
19709	11.8966	23119	0.102624	0.000262688	8	1.22474	0.81662	0.0457163	0.861124	0.131519	8.52941	2.12478	-0.033459
19710	12.1133	1450	0.26563	0.000645232	3.58824	0.87026	0.603735	0.113674	0.95	0.0935414	2.82353	1.0146	-0.0516582
19711	12.4356	18277	0.107232	0.000245487	7.05882	1.71284	0.787302	0.0599666	0.903852	0.0997788	7	2.5	-0.0174667
19712	9.56427	170	0.239958	0.000224458	1.35294	0.492592	0.0429505	0.0721709	1	0	1	0	-0.0672646
19713	14.4059	32	0.104826	0.00036799	1	0	0.0555556	0	1	0	1	0	-1.30511e-17
19714	9.00716	1981	0.197832	0.000860198	4	1.11803	0.57619	0.201239	0.887255	0.173958	3.64706	1.41161	-0.0859532
19715	11.9612	236	0.163888	0.000408079	1.29412	0.469668	0.104108	0.176468	1	0	1	0	0.0276753
19716	14.4198	92	0.294481	0.000547648	1	0	0.0555556	0	1	0	1	0	-1.30511e-17
19717	9.56894	74	0.263259	0.000459212	1	0	0.584127	0	1	0	2	0	0.147632
19718	14.4374	74	0.207557	0.000907193	1.47059	0.624264	0.0900093	0.157838	1	0	1.14286	0.377964	-0.017094
